ChemBL ID,SMILES,Compound Key,Ki,database,Assay ChEMBL ID,Document ChEMBL ID
CHEMBL344425,O=C(Cc1cccc(F)c1)NC1CCN(Cc2ccc(I)cc2)CC1,37,167.63,CHEMBL,CHEMBL846104,CHEMBL1134305
CHEMBL341957,O=C(Cc1ccccc1)NC1CCN(Cc2ccc(F)cc2)CC1,19,82.89,CHEMBL,CHEMBL846104,CHEMBL1134305
CHEMBL423917,O=C(Cc1ccccc1)NC1CCN(Cc2cccc(C(F)(F)F)c2)CC1,24,513.16,CHEMBL,CHEMBL846104,CHEMBL1134305
CHEMBL136231,O=C(Cc1ccccc1)NC1CCN(Cc2ccc(C(F)(F)F)cc2)CC1,25,300.41,CHEMBL,CHEMBL846104,CHEMBL1134305
CHEMBL137041,O=C(Nc1cccc2ccccc12)NC1CCN(Cc2ccccc2)CC1,8,25.02,CHEMBL,CHEMBL846104,CHEMBL1134305
CHEMBL344186,O=C(Cc1ccccc1)NC1CCN(Cc2ccc([N+](=O)[O-])cc2)CC1,26,319.07,CHEMBL,CHEMBL846104,CHEMBL1134305
CHEMBL142596,CN(CCc1cccc(Cl)c1)CCN1CCCC1,14,28.3,CHEMBL,CHEMBL848651,CHEMBL1126607
CHEMBL154397,CN(CCN1CCCC1)Cc1ccc(I)cc1,6,24.5,CHEMBL,CHEMBL848651,CHEMBL1126607
CHEMBL346153,CN(CCc1ccc(Br)cc1)CCN1CCCC1,10,32.5,CHEMBL,CHEMBL848651,CHEMBL1126607
CHEMBL151136,CN(CCc1cccc(Br)c1)CCN1CCCC1,9,59.8,CHEMBL,CHEMBL848651,CHEMBL1126607
CHEMBL152618,CN(CCN1CCCC1)Cc1cccc(Br)c1,11,220.0,CHEMBL,CHEMBL848651,CHEMBL1126607
CHEMBL356909,CN(CCN1CCCC1)Cc1cccc(I)c1,5,33.7,CHEMBL,CHEMBL848651,CHEMBL1126607
CHEMBL153758,CN(CCc1ccc(F)cc1)CCN1CCCC1,13,124.0,CHEMBL,CHEMBL848651,CHEMBL1126607
CHEMBL152478,CN(CCc1cccc(F)c1)CCN1CCCC1,12,103.6,CHEMBL,CHEMBL848651,CHEMBL1126607
CHEMBL152057,CN(CCc1cccc(I)c1)CCN1CCCC1,2,9.1,CHEMBL,CHEMBL848651,CHEMBL1126607
CHEMBL358109,CN(CCc1ccc(Cl)cc1)CCN1CCCC1,15,50.5,CHEMBL,CHEMBL848651,CHEMBL1126607
CHEMBL349793,CN(CCN1CCCC1)Cc1ccccc1I,4,48.2,CHEMBL,CHEMBL848651,CHEMBL1126607
CHEMBL152426,CN(CCc1ccc(I)cc1)CCN1CCCC1,3,43.1,CHEMBL,CHEMBL848651,CHEMBL1126607
CHEMBL282433,Cc1ccccc1NC(=N)Nc1ccccc1C,Ditolylguanidine,32.3,CHEMBL,CHEMBL860171,CHEMBL1141188
CHEMBL534695,COc1ccc2c(c1)CCCC2CCCN1CCC(C)CC1,12.HCl,31.4,CHEMBL,CHEMBL860171,CHEMBL1141188
CHEMBL538566,COc1ccc2c(c1)CCCC2CCCN1CCC(C)(C)CC1,15.HCl,31.4,CHEMBL,CHEMBL860171,CHEMBL1141188
CHEMBL540818,COc1ccc2c(c1)CCCC2CCCCN1CCC(C)(C)CC1,20.HCl,17.5,CHEMBL,CHEMBL860171,CHEMBL1141188
CHEMBL536483,COc1ccc2c(CCCN3CCC(C)(C)CC3)cccc2c1,27.HCl,26.3,CHEMBL,CHEMBL860171,CHEMBL1141188
CHEMBL554663,COc1ccc2c(CCCN3CCC[C@H](C)C3)cccc2c1,(+)-(S)-23.HCl,59.3,CHEMBL,CHEMBL860171,CHEMBL1141188
CHEMBL545278,COc1ccc2c(CCCCN3CCC(C)CC3)cccc2c1,31.HCl,17.9,CHEMBL,CHEMBL860171,CHEMBL1141188
CHEMBL540563,COc1ccc2c(CCCCN3CCC(C)(C)CC3)cccc2c1,34.HCl,17.9,CHEMBL,CHEMBL860171,CHEMBL1141188
CHEMBL537842,COc1ccc2c(c1)CCCC2CCCCN1CCCCC1,16.HCl,48.7,CHEMBL,CHEMBL860171,CHEMBL1141188
CHEMBL545508,COc1ccc2c(CCCCN3CCC[C@H](C)C3)cccc2c1,(+)-(S)-30.HCl,32.7,CHEMBL,CHEMBL860171,CHEMBL1141188
CHEMBL559178,COc1ccc2c(CCCN3CCC(C)CC3)cccc2c1,24.HCl,38.9,CHEMBL,CHEMBL860171,CHEMBL1141188
CHEMBL553091,COc1ccc2c(CCCN3CCCCC3)cccc2c1,21.HCl,175.0,CHEMBL,CHEMBL860171,CHEMBL1141188
CHEMBL542701,COc1ccc2c(CCCN3CCCC[C@H]3C)cccc2c1,(-)-(R)-22.HCl,86.2,CHEMBL,CHEMBL860171,CHEMBL1141188
CHEMBL535363,COc1ccc2c(CCCCN3CCCC[C@H]3C)cccc2c1,(-)-(R)-29.HCl,49.2,CHEMBL,CHEMBL860171,CHEMBL1141188
CHEMBL538772,COc1ccc2c(CCCN3CCCC[C@@H]3C)cccc2c1,(+)-(S)-22.HCl,104.0,CHEMBL,CHEMBL860171,CHEMBL1141188
CHEMBL559377,COc1ccc2c(CCCCN3CCCC[C@@H]3C)cccc2c1,(+)-(S)-29.HCl,53.8,CHEMBL,CHEMBL860171,CHEMBL1141188
CHEMBL544343,COc1ccc2c(CCCCN3CCCC(C)(C)C3)cccc2c1,33.HCl,67.4,CHEMBL,CHEMBL860171,CHEMBL1141188
CHEMBL537399,COc1ccc2c(c1)CCCC2CCCN1CCCCC1(C)C,13.HCl,115.0,CHEMBL,CHEMBL860171,CHEMBL1141188
CHEMBL539545,COc1ccc2c(c1)CCCC2CCCCN1CCCCC1(C)C,18.HCl,29.5,CHEMBL,CHEMBL860171,CHEMBL1141188
CHEMBL535366,COc1ccc2c(CCCCN3CCCCC3)cccc2c1,28.HCl,151.0,CHEMBL,CHEMBL860171,CHEMBL1141188
CHEMBL540361,COc1ccc2c(CCCN3CCCCC3(C)C)cccc2c1,25.HCl,94.0,CHEMBL,CHEMBL860171,CHEMBL1141188
CHEMBL539333,COc1ccc2c(CCCCN3CCC[C@@H](C)C3)cccc2c1,(-)-(R)-30.HCl,64.0,CHEMBL,CHEMBL860171,CHEMBL1141188
CHEMBL552542,COc1ccc2c(CCCN3CCC[C@@H](C)C3)cccc2c1,(-)-(R)-23.HCl,60.2,CHEMBL,CHEMBL860171,CHEMBL1141188
CHEMBL539938,O=C(NC1CCN(Cc2ccccc2)CC1)c1cccc(I)c1,3-IBP,84.6,CHEMBL,CHEMBL805228,CHEMBL1127537
CHEMBL537177,COc1ccc2c(CCCN3CCCC(C)(C)C3)cccc2c1,26.HCl,238.0,CHEMBL,CHEMBL860171,CHEMBL1141188
CHEMBL554450,COc1ccc2c(CCCCN3CCCCC3(C)C)cccc2c1,32.HCl,28.6,CHEMBL,CHEMBL860171,CHEMBL1141188
CHEMBL540573,COc1ccc2c(c1)CCCC2CCCCN1CCC(C)CC1,17.HCl,36.3,CHEMBL,CHEMBL860171,CHEMBL1141188
CHEMBL558980,COc1ccc2c(c1)CCCC2CCCN1CCCCC1,11.HCl,26.2,CHEMBL,CHEMBL860171,CHEMBL1141188
CHEMBL244450,COC1(OC)CCC2CN(C)C1CN2Cc1ccccc1,15a,1830.0,CHEMBL,CHEMBL893122,CHEMBL1147988
CHEMBL395069,CCCCN1CC2CCC(O)C1CN2Cc1ccccc1,8b,447.0,CHEMBL,CHEMBL893122,CHEMBL1147988
CHEMBL394352,CN1CC2CC[C@@H](OCc3ccccc3)C1CN2Cc1ccccc1,13a(2R),30.4,CHEMBL,CHEMBL893122,CHEMBL1147988
CHEMBL242297,CO[C@@H]1CCC2CN(C)C1CN2Cc1ccccc1,12a(2R),327.0,CHEMBL,CHEMBL893122,CHEMBL1147988
